words,sentiment_coeff
pis,1.012472950305816
?,1.0120124671365722
!,-1.013438178825427
to,0.9976041980268484
byc,1.0109209784662236
po,1.0128297861332627
a,0.9963051365176495
nie,0.9991808296456787
polska,1.0030968981302886
czlowiek,0.9962463869115643
!_!,-1.0150189318576994
rzad,1.017525281308035
i,1.0004259047288626
miec,1.0031437016582736
co,0.9941499796397198
polak,1.0005064521268372
ten,1.0009360741712607
opozycja,0.9989152384837042
robic,0.9960371211178677
swoj,0.9942324795739219
pan,1.0044607005930377
w,1.0012594550794913
tak,1.0031019535077013
taki,1.0020218242561074
jak,0.9986899300077794
ale,1.0069177998442682
mowic,1.0021138055880654
wiedziec,1.0064798595826776
wybory,0.9971833342105424
zrobic,0.9981305946984662
partia,0.9967411548656112
tusk,1.0015108175958818
wladza,1.003532759488197
sam,0.99877564226363
glosowac,1.0109306228442563
rok,1.007896360323421
wyborca,1.0108097403940792
chciec,1.006017288713344
rzadzic,1.0112803741787877
on,-0.9955784946417566
jpii,-1.0200745242022682
nikt,0.9987915672394895
bo,1.0058871648078178
no,1.0039016459566987
papiez,-1.0292790930880498
czas,1.0050314237561573
czy,1.0006172731414156
konfederacja,1.0073522179198329
ty,1.0044882421735868
polski,-0.9964460965435504
panstwo,1.0065389963526024
tylko,0.9935529235464419
na,1.0066664864945514
prawda,-0.9981015565453838
z,0.999538385172757
kosciol,-1.003493721734626
program,1.0127237573859134
jaki,0.9964001556829567
dac,1.0088000699449156
jebac,-1.0118893504911013
pieniadz,1.0135834176450895
kaczynski,-1.0054773772558108
polityk,-0.9968979803928931
polityka,-0.993613631657745
inflacja,1.0191000190216382
wygrac,1.010737298033019
chyba,1.004087291746473
powiedziec,1.0032642602723199
dobry,1.0076953353044382
moc,1.0016006789163803
tvp,-0.996045669366193
przeciez,1.0073719331555884
kraj,0.9982312114729913
za,1.0091892331573178
kto,0.9962960700651025
dobrze,1.0063207732771755
sprawa,0.9927886383004763
dziecko,1.0046580855402796
wy,-0.9978056979650074
inny,1.003089983202726
widziec,0.9985921655260398
ue,1.0084099091276437
ze,-1.0005735967155176
musiec,1.0023142290320797
jp2,-1.0188859577606462
lewica,1.004439529321156
pisowski,-1.0020888539092507
kazdy,0.9946211058381073
caly,0.9998938598542372
ja,1.002673095115668
stac,0.9959058907523655
koniec,1.0014636431094146
propaganda,-1.0015166543306029
problem,1.0060051534234036
sie,1.0015974643678731
polityczny,-1.0132999039853927
teraz,0.9985221031633478
plus,1.0091500705991294
popierac,0.9992294095701412
temat,0.9944034657207376
dzieki,1.006977054806694
chodzic,0.9973016874650835
tvn,-0.9949524272497874
pani,1.0041669761909913
kolejny,1.0016920826746296
tyle,1.0026437642344066
daleko,1.0027969228118474
jeden,1.0081748370855326
myslec,1.0010377172636407
prawo,1.0040086214613817
zlodziej,-1.0110597991750208
nic,1.0034933267777504
mafia,-1.0055894139592667
elektorat,0.9996741055801162
osoba,1.0005663933283728
zostac,0.9960001387972637
kaczastrof,-1.0180680887875222
prowokacja,-1.0102149561396208
czyli,1.0036602226749745
2,1.0042749506111233
kasa,0.9995295736622705
media,1.0010956704782006
rozumiec,1.0005400239468079
kremowka,1.0044304133712931
klamstwo,-1.0031141800217076
dlaczego,1.0054271371045547
o,1.0000342937672364
ktory,0.994008940144738
wojna,1.0031861845822423
jakis,1.000688256308971
niestety,1.0034439074636505
wyborczy,0.998773816560725
duzy,0.9985523700061145
wielki,1.002751177476578
narod,-0.9996638934528143
8_rok,1.0110616034998476
swiat,1.000163944803997
wygrac_wybory,1.002827849820064
dupa,1.0027950043610765
dla,0.996750267551551
wszystko,1.0019125923937244
prosty,1.005696344475046
by,1.0026456279095095
kurwa,1.0047514958797585
oczywiscie,1.003126251403413
widac,0.9967507051013088
