words,sentiment_coeff
eurovision,1.0092846398450452
!,1.0105988662473762
i,1.0040683688635956
eurovision2023,1.0053768916677805
song,1.0409716844119485
be,1.0020616738039134
?,0.9987172598116055
s,1.0158583225286244
it,1.0318532660448028
year,1.0350798193536874
the,1.0052978050654717
ticket,-1.0597418903230866
love,1.0304280928263116
good,1.0275174056787821
do_not,1.0037729686037433
this,1.0164222696655278
like,1.0237237138175928
win,1.0344961848502736
2023,1.0120670073038216
go,1.0046845875089294
it_be,1.014030494431696
entry,1.0209378671178735
get,0.9871709117553334
liverpool,-1.008680626388127
we,0.996172184401537
uk,1.0107948534792386
loreen,1.0331869550725454
esc2023,1.016867744047458
well,1.0245893035700093
think,1.0165261516306652
time,0.9952236802212276
can_not,0.9992526416891917
not,1.00111518708917
i_m,1.0025145058174285
sweden,1.0201491708716344
ticketmaster,-1.0572750160029742
come,0.9977137027767438
day,0.9999886692599884
she,1.0221240720996119
final,1.00058506313566
and,1.0035732802386754
know,1.004880641603355
great,1.0140215257584726
you,0.9988886579015173
amp,-0.9901925075643996
a,0.999696711260143
winner,1.0347722687457297
today,-1.0066074133509253
people,0.9908333357975674
wait,0.9891880614313628
so,0.9931984719342959
they,0.9986836431478215
hope,0.9982231734950474
fan,-0.9994756259186528
esc,1.0164801957860263
stage,1.0197957000774986
watch,0.9949462376412893
my,1.0143139309816918
there,0.9890993835831181
here,0.9936074059259853
want,0.9958071854089445
live,0.9951825545942796
that,1.0145881607158125
bad,1.020184572649396
if,0.999549851351293
need,0.9903642625979296
1,0.9943464744247811
see,0.9955848451203433
what,0.9983003611707457
say,0.9995309023614898
melodifestivalen,1.0128231186830283
now,0.9928878029605185
performance,1.016997024359962
big,0.9875288526113948
music,0.9986271865260863
have,0.9881212308698202
amazing,1.0162236979531925
party,-1.018317690711826
look,0.9900111183030165
will,1.0000689818206938
song_contest,0.9963838102188747
show,-0.9944908264036061
thank,-0.9962712079576447
melfest,1.0192548969776243
queue,-1.030984844262269
mae_muller,1.0144532653799871
10,1.008739473131293
semi_final,0.9932345331115147
all,0.9979312983435079
to,0.9929046814928293
in,-0.9909414498352925
2,0.9937551400552824
do,1.0014341632733799
one,0.997514348378264
way,0.9986159433967325
but,1.0054716662598218
go_to,1.0052282277114608
listen,1.0093059718140702
may,-1.0017074682054585
thing,0.9964839707746096
favourite,1.027193530567037
week,-0.993482576587452
new,1.0009574807450483
right,1.0042580241937424
happy,1.0021342217792355
night,-0.9943319747184217
actually,1.0147581140056092
good_luck,1.0096506043035354
start,0.9965889959445663
feel,1.0138798160116131
melf,1.0150707061066127
send,1.0223525095388113
country,1.0049038329139162
festivaldacancao,1.0264092088150805
for,-0.9931902768990348
artist,1.0035690871744536
tonight,1.0221132393719539
/,0.9984322168927071
austria,1.0276740962422686
ve,0.9851516228640397
again,1.0154431433739735
video,1.0048009881141353
host,0.987656634911279
i_write,1.0213955711470277
contest,0.9925489798709838
try,-1.0078039480335332
unitedbymusic,1.010302846266752
ukraine,1.0061861150313591
sure,1.0103727331801866
3,1.0077394771671186
hear,1.003467332299486
tattoo,1.027760685090048
grand_final,-1.0181640050374132
